,Lead ID,Lead Source,Lead Channel,Created By,Lead Owner,Mobile - Primary,Business Phone_x,First Name,Last Name,Company / Account,Menu Type,State/Province,Country,Latest Re-engaged Date,Latest Campaign,Created Date,WeChat External Id,Lead Status,Lead Stage,Unqualified Reason,Rejected Reason,Opportunity: Created Date,Opportunity ID,Opportunity: Account,Stage,Oppt Close Date,Restaurant ID,Action,Match By,Cuisine Type,State,Business Phone_y,Snowball Map,Business Phone,Session Date,submit_form
0,00Q8b000025O8Am,Marketing Inbound,DM,Kelvin Teh,Marketing Nurture Queue,5879383899,7804543588,,关,Dover Kam Kitchen,Chinese,AB,Canada,10/18/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/10/2023,,AE Assigned,Rejected,,No Interest to talk to sales,,,,,,,Inbound Call,Mobile - Primary,,,,,,,
1,00Q8b000025JOrP,Marketing Inbound,DM,Shaoxiang Chan,Marketing Nurture Queue,7655430071,,,Elsa,Unknown,Chinese,,,10/25/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/24/2023,,SDR Complete,Rejected,,No Interest to talk to sales,,,,,,,Inbound Call,Mobile - Primary,,,,,,,
2,00Q8b000025J7as,Marketing Inbound,DM,Shaoxiang Chan,Yaning Wang,2892693838,,,Cindy,Unknown,Japanese,,Canada,,,10/23/2023,,Converted,,,,10/23/2023,0068b00001T1oUr,Unknown,Closed Lost,11/21/2023,,Inbound Call,Mobile - Primary,American Chinese,ON,2892693838,39761.0,,,
3,00Q8b000025N5P1,Marketing Inbound,DM,Shaoxiang Chan,Jiaxin Chen,6183055933,,,Vicky,Vicky来取,Chinese,IL,United States,10/6/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/5/2023,,Converted,,,,10/9/2023,0068b00001Tg1nE,Vicky来取,Contract Sent,12/8/2023,,Inbound Call,Mobile - Primary,,,,,,,
4,00Q8b000025J1Fu,Marketing Inbound,DM,Goh EeLin,Yaning Wang,5068981658,5062143888,,陈小姐,WOK IN RESTAURANT R86375,Chinese,NB,Canada,,,10/23/2023,,Converted,,,,10/23/2023,0068b00001T1ofL,WOK IN RESTAURANT R86375,Onboarded,11/12/2023,R86375,Inbound Call,Mobile - Primary,,,,,,,
5,00Q8b000025MMDp,Marketing Inbound,DM,Goh EeLin,Leon Li,7054468098,,,Peter,98 SUPER PANDA,Chinese,ON,Canada,10/3/2023,Mkt_DM_Snowflake_MooncakeV1,10/2/2023,,Converted,,,,10/3/2023,0068b00001TBdEM,98 SUPER PANDA,Discovery/Demo,11/2/2023,,Inbound Call,Mobile - Primary,American Chinese,ON,7054468098,43179.0,,,
6,00Q8b000025OKfc,Marketing Inbound,DM,JotForm Integration User,Marketing Nurture Queue,2508792813,,,Islam,Eden Bento Café,Chinese; Japanese; Other,IL,United States,10/11/2023,Mkt_DM_Snowflake_OctoberV2,10/11/2023,,SDR Complete,Rejected,,No Interest to talk to sales,,,,,,,Scan,Business Phone,Korean; Japanese,BC,,43009.0,7784717072,10/11/2023,True
7,00Q8b000025L2Bl,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Yo Sushi,Japanese,ON,Canada,10/31/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/31/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,Japanese,ON,,45145.0,5195687566,10/22/2023,False
8,00Q8b000025L2AO,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Vintage Garden,Chinese,ON,Canada,10/31/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/31/2023,,SDR Complete,Rejected,,No Interest to talk to sales,,,,,,,Scan,Business Phone,Chinese,ON,,42700.0,4167560304,10/19/2023,False
9,00Q8b000025L1ym,Marketing Inbound,DM,Carlito Academia,Marketing Nurture Queue,,,,Unknown,Ko Chicken + Ramen,Japanese,SK,Canada,10/31/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/31/2023,,SDR Complete,Dead,,,,,,,,,Scan,Business Phone,Japanese,SK,,43798.0,3069798866,10/18/2023,False
10,00Q8b000025L1wR,Marketing Inbound,DM,Carlito Academia,Leon Li,2269895488,,,丽达,J F Chen Chinese Food,Chinese,ON,Canada,10/31/2023,Mkt_DM_Snowflake_OctoberFreeTrial,10/31/2023,,Converted,,,,11/2/2023,0068b00001T2vbm,J F Chen Chinese Food,Discovery/Demo,12/2/2023,,Scan,Business Phone,Chinese,ON,,42541.0,5198228868,10/16/2023,False
